category,subcategory,fact_name,value,unit,occurrences,has_conflict,confidence,rationale,signature
Project Overview,Basic Info,Document title,Natarbora Refinery And Petrochemical Complex Preliminary Environmental and Socioeconomic Impact Assessment Draft Report,,1,False,high,The document title provides essential information about the project.,document_title
Project Overview,Basic Info,Client organisation,KBR,,1,False,high,The client organization is fundamental project information.,client_organisation
Project Overview,Basic Info,Client contact,Jin Xiang Lim,,1,False,high,Client contact is essential basic information for the project.,client_contact
Project Overview,Basic Info,Project Manager,Dr Karlheinz Spitz,,1,False,high,The Project Manager's name is essential basic information about the project.,project_manager
Project Overview,Basic Info,Document approval date,8/02/2025,,1,False,high,Approval date is essential project information.,document_approval_date
Project Overview,Basic Info,Glossary term - bpd,barrels per day,,1,False,high,Glossary terms provide essential project definitions.,glossary_term_bpd
Project Overview,Basic Info,Glossary term - ha,Hectare,,1,False,high,Glossary terms provide essential project information.,glossary_term_ha
Project Overview,Basic Info,JICA,Japan International Cooperation Agency,,1,False,high,JICA is a key organization relevant to project funding and support.,jica
Project Overview,Basic Info,JEC,Japanese Electro-technical Committee Standard,,1,False,medium,The standard is relevant to project specifications but lacks context for precise categorization.,jec
Project Overview,Basic Info,kBPSD,thousand barrels per stream day,,1,False,medium,The term refers to a measurement unit but lacks context for specific categorization.,kbpsd
Project Overview,Basic Info,m/s,Meter per second,,1,False,low,The fact does not provide specific context or relevance to a project.,ms
Project Overview,Basic Info,MW,Mega Watt,,1,False,low,"The term ""MW"" is a unit of measurement and lacks context for categorization.",mw
Project Overview,Basic Info,NASA,National Aeronautics and Space Administration,,1,False,medium,"NASA is an organization name, but its relevance to the project context is unclear.",nasa
Project Overview,Basic Info,PD,Project Document,,1,False,medium,"The term ""Project Document"" is vague and could fit multiple categories; thus, it is categorized under basic info.",pd
Project Overview,Basic Info,TPD,Tonnes Per Day,,1,False,medium,TPD is a measurement unit that requires context to determine its relevance.,tpd
Project Overview,Basic Info,TPH,Tonnes Per Hour,,1,False,medium,TPH is a measurement unit that requires context to determine its relevance.,tph
Project Overview,Basic Info,USGS,United States Geological Survey,,1,False,medium,USGS is a relevant organization but lacks specific context for categorization.,usgs
Project Overview,Basic Info,List of Figures,7,,1,False,medium,The number of figures is a general project overview element but lacks specific context.,list_of_figures
Project Overview,Basic Info,List of Tables,8,,1,False,medium,The number of tables suggests a structural element but lacks specific context.,list_of_tables
Project Overview,Basic Info,Introduction Section,9,,1,False,high,The introduction section provides foundational information about the project.,introduction_section
Project Overview,Basic Info,Project Description Section,11,,1,False,medium,"The fact refers to a section title rather than a specific fact, making it ambiguous.",project_description_section
Project Overview,Basic Info,Baseline Conditions Section,37,,1,False,medium,Baseline conditions are fundamental project information but context is vague.,baseline_conditions_section
Project Overview,Basic Info,Section 9 - Alternatives Analysis,Alternatives Analysis,,1,False,high,Alternatives analysis is a fundamental aspect of project overview.,section_9_alternatives_analysis
Project Overview,Basic Info,Section 10 - Conclusions and Recommendations,Conclusions and Recommendations,,1,False,high,Conclusions and recommendations summarize project findings and are part of the overall project overview.,section_10_conclusions_and_recommendations
Project Overview,Basic Info,Appendix - Project Photographs,Project Photographs,,1,False,medium,Photographs provide general project information but lack specific context.,appendix_project_photographs
Project Overview,Basic Info,Wind Rose data period,1960 - 2024,,1,False,medium,Wind Rose data period provides basic information but lacks specific context.,wind_rose_data_period
Project Overview,Basic Info,Topography source,Timor Leste Topography,,1,False,medium,Topography source is relevant but lacks specific context for clearer categorization.,topography_source
Project Overview,Basic Info,Geology source,commons.wikimedia.org,,1,False,medium,Source of geological information is relevant but lacks specificity.,geology_source
Project Overview,Basic Info,Land Use and Land Cover source,ESRI 2023,,1,False,medium,Source of land use data is relevant but lacks specificity on its impact.,land_use_and_land_cover_source
Project Overview,Basic Info,Components of the Natarbora Complex,"Marine Facility/Seaport, Refinery and Petrochemical Complex, LNG Plant",,1,False,high,Components of the complex provide essential project overview information.,components_of_the_natarbora_complex
Project Overview,Basic Info,Objectives of Preliminary ESIA,Evaluate environmental and social implications,,1,False,high,The objectives of the ESIA provide fundamental information about the project.,objectives_of_preliminary_esia
Project Overview,Basic Info,Capacity units,kBPSD and TPD,,1,False,medium,Capacity units are fundamental but lack specific context for precise categorization.,capacity_units
Project Overview,Basic Info,Project site area for main facilities,"1,050",hectares,1,False,high,Site area is fundamental project information.,project_site_area_for_main_facilities
Project Overview,Basic Info,Project category classification,IFC Category A,,1,False,high,Project classification is fundamental project overview information.,project_category_classification
Project Overview,Basic Info,Wet season duration,December to May,,1,False,medium,Wet season duration is relevant for project planning but lacks specific context.,wet_season_duration
Project Overview,Basic Info,Area of Timor-Leste,15000,km²,1,False,high,The area of a country is fundamental project information.,area_of_timor_leste
Project Overview,Basic Info,Height of Mount Ramelau,2963,meters,1,False,medium,Height is relevant but lacks direct project context.,height_of_mount_ramelau
Project Overview,Basic Info,Mean elevation of Timor-Leste,470,meters,1,False,medium,Mean elevation is relevant but not directly tied to project specifics.,mean_elevation_of_timor_leste
Project Overview,Basic Info,Width of Timor-Leste,75 to 100,km,1,False,high,Geographical dimensions are fundamental project information.,width_of_timor_leste
Project Overview,Basic Info,Transition of project area,from natural and semi-natural rural conditions to planned development,,1,False,medium,"Describes a significant change in land use, relevant to project overview but lacks specific details.",transition_of_project_area
Project Overview,Basic Info,National population of Timor-Leste,1.341 million,people,1,False,medium,National population provides context but is not directly tied to project specifics.,national_population_of_timor_leste
Project Overview,Basic Info,Project focus,Natarbora Refinery and Petrochemical Complex development,,2,False,high,The project focus describes the main objective and scope of the project.,project_focus
Project Overview,Basic Info,Plant availability,96%,percent,2,False,medium,Plant availability is a performance metric but could fit in multiple categories.,plant_availability
Project Overview,Basic Info,Travel time from Aubeon to Dili,5,hours,1,False,medium,Travel time is relevant but lacks specific context for categorization.,travel_time_from_aubeon_to_dili
Project Overview,Basic Info,Project area buffer zone,1,km,1,False,high,Buffer zone is essential project area information.,project_area_buffer_zone
Project Overview,Location,Project location,"Natarbora Energy Complex, Viqueque, Timor Leste",,1,False,high,Project location is a fundamental aspect of project overview.,project_location
Project Overview,Location,Location of Natarbora Refinery and Petrochemical Complex,"Natarbora, Timor Leste",,1,False,high,The location of the refinery is a fundamental aspect of the project overview.,location_of_natarbora_refinery_and_petrochemical_complex
Project Overview,Location,Distance from Beaço,60,km,1,False,high,Distance from a known location is key project location information.,distance_from_beaco
Project Overview,Location,Distance from Dili,75,km,1,False,high,Distance from a major city is key project location information.,distance_from_dili
Project Overview,Location,Distance from Aubeon Village,1,kilometer,1,False,high,Distance to a village is a key locational fact.,distance_from_aubeon_village
Project Overview,Location,Area designated for 'New Village' residential development,292,hectares,1,False,medium,Designated area for development relates to project location but could also touch on social aspects.,area_designated_for_new_village_residential_development
Project Overview,Location,Distance to Rib Sahen river,3,kilometers,1,False,high,Distance to a river is a key locational fact for the project.,distance_to_rib_sahen_river
Project Overview,Location,Distance to Aubeon Village,1.5,kilometers,2,False,high,Distance to a nearby village is a key locational fact.,distance_to_aubeon_village
Project Overview,Location,Distance to Natarbora,3.5,kilometers,2,False,high,Distance to a specific location is a key project overview detail.,distance_to_natarbora
Project Overview,Location,Distance to New Village Project,8.5,kilometers,1,False,high,Distance to a project site is a key locational detail.,distance_to_new_village_project
Project Overview,Location,Distance from Suai Supply Base to Natarbora Refinery site,125,km,1,False,high,Distance to supply base is key project location information.,distance_from_suai_supply_base_to_natarbora_refinery_site
Project Overview,Location,Distance to New township,8.5 km,km,1,False,high,Distance to a township is a key locational fact for the project.,distance_to_new_township
Project Overview,Location,Distance from Aubeon Village to flare,3,km,1,False,medium,Distance to a village is relevant for project location but may also relate to social impacts.,distance_from_aubeon_village_to_flare
Project Overview,Location,Distance between key locations,60,kilometers,1,False,medium,Distance between locations is relevant but lacks specific context.,distance_between_key_locations
Project Overview,Location,Distance to Church,3 to 4,kilometers,1,False,medium,Distance to community facilities is relevant but context is limited.,distance_to_church
Project Description,Capacity/Scale,Initial production capacity,"30,000",barrels per day,1,False,high,Initial production capacity is a key aspect of project description.,initial_production_capacity
Project Description,Capacity/Scale,Stage 2 production capacity,"60,000",barrels per day,1,False,high,Production capacity is a key aspect of project description.,stage_2_production_capacity
Project Description,Capacity/Scale,Stage 3 production capacity,"100,000",barrels per day,1,False,high,Production capacity is a key aspect of project description.,stage_3_production_capacity
Project Description,Capacity/Scale,Crude Distillation Capacity,20,kBPSD,1,False,high,Crude distillation capacity is a key measure of project scale.,crude_distillation_capacity
Project Description,Capacity/Scale,Naphtha Hydrotreater Capacity,15,kBPSD,1,False,high,Hydrotreater capacity is a key aspect of project scale and technology.,naphtha_hydrotreater_capacity
Project Description,Capacity/Scale,Diesel Hydrotreater Capacity,6,kBPSD,1,False,high,Hydrotreater capacity is a key aspect of project scale and technology.,diesel_hydrotreater_capacity
Project Description,Capacity/Scale,Light Naphtha Isomerization Capacity,6,kBPSD,1,False,high,Isomerization capacity is a key project capacity metric.,light_naphtha_isomerization_capacity
Project Description,Capacity/Scale,LPG Sweetening Capacity,1.2,kBPSD,1,False,high,LPG sweetening capacity is a key aspect of project scale and technology.,lpg_sweetening_capacity
Project Description,Capacity/Scale,Kerosene Sweetening Capacity,2,kBPSD,1,False,high,Kerosene sweetening capacity is a key aspect of project scale.,kerosene_sweetening_capacity
Project Description,Capacity/Scale,Petrochemical Processing Facility Capacity,Listed in KTA or thousand tonnes per year,KTA,1,False,high,Facility capacity is a key aspect of project description.,petrochemical_processing_facility_capacity
Project Description,Capacity/Scale,Steam Cracker Capacity,1000 KTA,KTA,1,False,high,Steam cracker capacity is a key aspect of project scale.,steam_cracker_capacity
Project Description,Capacity/Scale,Propane Dehydrogenation (PDH) Capacity,500 KTA,KTA,1,False,high,PDH capacity is a key aspect of project scale and description.,propane_dehydrogenation_pdh_capacity
Project Description,Capacity/Scale,High Density Polyethylene (HDPE) / Linear Low-Density Polyethylene (LLDPE) Capacity,1000 KTA,KTA,1,False,high,Capacity of materials is a key project descriptor.,high_density_polyethylene_hdpe_linear_low_density_polyethylene_lldpe_capacity
Project Description,Capacity/Scale,Low Density Polyethylene (LDPE) Capacity,400 KTA,KTA,1,False,high,LDPE capacity is a key aspect of project scale.,low_density_polyethylene_ldpe_capacity
Project Description,Capacity/Scale,Polypropylene (PP) Capacity,500 KTA,KTA,1,False,high,Polypropylene capacity is a key aspect of project scale.,polypropylene_pp_capacity
Project Description,Capacity/Scale,C4SHU Selective Hydrogenation Unit Capacity,240 KTA,KTA,1,False,high,Unit capacity is a key aspect of project description.,c4shu_selective_hydrogenation_unit_capacity
Project Description,Capacity/Scale,MTBE Capacity,64 KTA,KTA,1,False,high,MTBE capacity is a key descriptor of project scale.,mtbe_capacity
Project Description,Capacity/Scale,Butene-1 Capacity,59 KTA,KTA,1,False,high,Butene-1 capacity is a key aspect of project scale and description.,butene_1_capacity
Project Description,Capacity/Scale,C4/C5 THU Total Hydrogenation Unit Capacity,175 KTA,KTA,1,False,high,Unit capacity is a key aspect of project description.,c4c5_thu_total_hydrogenation_unit_capacity
Project Description,Capacity/Scale,Pygas Hydrotreating Unit (PGHU) Capacity,116 KTA,KTA,1,False,high,Capacity of the hydrotreating unit is a key project descriptor.,pygas_hydrotreating_unit_pghu_capacity
Project Description,Capacity/Scale,C6-C9 Hydrodealkylation Unit (HDA) Capacity,73 KTA,KTA,1,False,high,Unit capacity is a key aspect of project description.,c6_c9_hydrodealkylation_unit_hda_capacity
Project Description,Capacity/Scale,Benzene Extraction Unit (BEU) Capacity,56 KTA,KTA,1,False,high,BEU capacity is a key aspect of project scale and technology.,benzene_extraction_unit_beu_capacity
Project Description,Capacity/Scale,Sea Water Cooling System Duty Load,620 MW,MW,2,False,high,Cooling system capacity is a key project specification.,sea_water_cooling_system_duty_load
Project Description,Infrastructure,WTP,Wastewater Treatment Plant,,1,False,high,A Wastewater Treatment Plant is a key infrastructure component of the project.,wtp
Project Description,Infrastructure,Additional area for offices and services,100,hectares,1,False,medium,Additional area for offices and services relates to project infrastructure but could also touch on other aspects.,additional_area_for_offices_and_services
Project Description,Infrastructure,Water supply system type,dual water supply system,,1,False,high,The type of water supply system is a key aspect of project infrastructure.,water_supply_system_type
Project Description,Location,Distance from Natarbora to flare,3.5,km,1,False,high,Distance to infrastructure is a key locational detail.,distance_from_natarbora_to_flare
Project Description,Technology,IWTP,Industrial Wastewater Treatment Plant,,1,False,high,IWTP is a specific technology related to project infrastructure.,iwtp
Project Description,Technology,JEM,Japan Electrical Manufacturers' Association Standard,,1,False,medium,The standard relates to technology but lacks specific context for clearer categorization.,jem
Project Description,Technology,LDPE,Low Density Polyethylene,,1,False,medium,LDPE is a type of material that may relate to project technology but lacks specific context.,ldpe
Project Description,Technology,LIDAR,Leak Detection and Repair,,1,False,high,LIDAR is a specific technology used for leak detection and repair.,lidar
Project Description,Technology,LLDPE,Linear Low Density Polyethylene,,1,False,medium,LLDPE is a type of material relevant to project technology but lacks context for clearer categorization.,lldpe
Project Description,Technology,LNG,Liquefied Natural Gas,,1,False,high,LNG is a specific technology type relevant to the project.,lng
Project Description,Technology,LPG,Liquefied Petroleum Gas,,1,False,medium,"LPG is a type of fuel technology, but its context is unclear without additional information.",lpg
Project Description,Technology,LSWR,Low-Sulfur Waxy Residue,,1,False,medium,The term refers to a specific type of residue related to project technology but lacks context for clearer categorization.,lswr
Project Description,Technology,PDH,Propane Dehydrogenation,,1,False,high,PDH refers to a specific technology used in the project.,pdh
Project Description,Technology,PGHU,Pygas Hydrotreating Unit,,1,False,high,The Pygas Hydrotreating Unit is a specific technology used in the project.,pghu
Project Description,Technology,PP,Polypropylene,,1,False,medium,Polypropylene is a type of technology/material but lacks context for clearer categorization.,pp
Project Description,Technology,SHU,Selective Hydrogenation Unit,,1,False,high,The Selective Hydrogenation Unit is a specific technology used in the project.,shu
Project Description,Technology,THU,Total Hydrogenation Unit,,1,False,high,The Total Hydrogenation Unit is a specific technology used in the project.,thu
Project Description,Technology,Oil Refinery Process,Oil Refinery Process,,1,False,high,The oil refinery process describes the technology used in the project.,oil_refinery_process
Project Description,Technology,Semi Regenerative Reformer Capacity,9,kBPSD,1,False,high,Reformer capacity is a specific technology descriptor for the project.,semi_regenerative_reformer_capacity
Project Description,Timeline,Estimated construction phase duration,6,years,1,False,high,Construction phase duration is a key aspect of project timeline.,estimated_construction_phase_duration
Project Description,Timeline,Construction duration,3 years,years,1,False,high,Construction duration is a key aspect of project timelines.,construction_duration
Environmental Impacts,Air,MTBE,Methyl tertiary butyl ether,,1,False,medium,"MTBE is a chemical that can impact air quality, but its specific context is unclear.",mtbe
Environmental Impacts,Air,NOx,Nitrogen Oxides,,1,False,high,NOx is a key air pollutant relevant to environmental impacts.,nox
Environmental Impacts,Air,PM,Particulate Matter,,1,False,high,Particulate Matter is a key air quality indicator.,pm
Environmental Impacts,Air,SOx/SO2,Sulfur Oxides,,1,False,high,SOx/SO2 are key air quality pollutants relevant to environmental impacts.,soxso2
Environmental Impacts,Air,VOCs,Volatile Organic Compounds,,1,False,high,VOCs are significant air pollutants and environmental concerns.,vocs
Environmental Impacts,Air,Section 7.1 - Air Resources,Air Resources,,1,False,high,"The section specifically addresses air resources, a key environmental concern.",section_71_air_resources
Environmental Impacts,Air,Section 8.1 - Air Quality Management and Mitigation,Air Quality Management and Mitigation,,1,False,high,Air quality management is a key environmental concern.,section_81_air_quality_management_and_mitigation
